Level,Song,Score,Performance,Difficulty,Details_Number
☆12,#CMFLG(ANOTHER),459,A75.86%(AA - 60),HARD,2370
☆12,-65℃(ANOTHER),,,,0
☆12,199024club -Re:BounceKiller-(ANOTHER),839,AA79.01%(AA + 29),HARD,1912
☆12,1st Samurai(ANOTHER),1255,B62.51%(A - 121),EASY,1819
☆12,2 Beasts Unchained(ANOTHER),576,A67.37%(A + 24),FAILED,2339
☆12,24h Endurance Race(ANOTHER),560,A67.62%(A + 36),EASY,2590
☆12,255(ANOTHER),456,AA81.23%(AA + 109),CLEAR,2583
☆12,3y3s(ANOTHER),948,AA78.0%(AA + 8),HARD,2936
☆12,[ ]DENTITY(ANOTHER),587,A70.25%(A + 143),FAILED,2810
☆12,A(ANOTHER),642,AA78.26%(AA + 12),EASY,2102
☆12,AA(ANOTHER),834,A76.62%(AA - 41),CLEAR,2665
☆12,AA -rebuild-(ANOTHER),1339,A68.18%(A + 53),EASY,2389
☆12,ABSOLUTE EVIL(ANOTHER),724,A76.35%(AA - 52),EASY,2776
☆12,Adularia(ANOTHER),1074,A74.17%(AA - 100),EASY,2050
☆12,Afterimage d'automne(ANOTHER),314,AA86.29%(AAA - 81),HARD,2682
☆12,Aftermath(ANOTHER),542,AA81.74%(AA + 140),EASY,2905
☆12,AIR RAID FROM THA UNDAGROUND(LEGGENDARIA),598,A72.02%(A + 161),HARD,2165
☆12,AKASHIC BREAK(ANOTHER),1601,A71.7%(A + 178),EASY,2534
☆12,Almagest(ANOTHER),,,,0
☆12,ALTERNATOR(ANOTHER),876,AA77.92%(AA + 5),EASY,3025
☆12,Always We Trust In You(ANOTHER),494,A75.56%(AA - 75),EASY,2557
☆12,Amazing Mirage(LEGGENDARIA),1462,A71.24%(A + 153),EASY,2381
☆12,Ambivalent Vermilia(ANOTHER),383,A66.98%(A + 13),FAILED,2820
☆12,ANCHOR(ANOTHER),1219,A73.33%(AA - 163),EASY,2684
☆12,Ancient Scapes(ANOTHER),1074,A70.25%(A + 138),EASY,2713
☆12,Ancient Scapes(LEGGENDARIA),1229,C53.33%(B - 102),FAILED,2437
☆12,Angel's Ladder(ANOTHER),529,A73.17%(AA - 166),CLEAR,2634
☆12,"Anisakis -somatic mutation type""Forza""-(ANOTHER)",969,AA81.04%(AA + 104),HARD,2598
☆12,"Anisakis -somatic mutation type""Forza""-(LEGGENDARIA)",,,,0
☆12,anthracene(ANOTHER),508,A77.22%(AA - 19),EASY,2579
☆12,Antigravity(ANOTHER),622,AA79.28%(AA + 44),HARD,2326
☆12,AO-1(ANOTHER),669,AA84.62%(AAA - 125),HARD,2464
☆12,Apocalypse(ANOTHER),922,A76.01%(AA - 69),EASY,2969
☆12,Arabian Rave Night(LEGGENDARIA),979,A72.8%(AA - 199),EASY,2899
☆12,Arca(ANOTHER),664,AA79.83%(AA + 65),HARD,2564
☆12,Arkadia(ANOTHER),738,B66.24%(A - 16),EASY,2480
☆12,Artist(ANOTHER),555,A70.15%(A + 134),EASY,2698
☆12,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)(ANOTHER),658,A73.5%(AA - 145),HARD,2480
☆12,ATHER(LEGGENDARIA),359,AA77.82%(AA + 1),EASY,2523
☆12,B.O.D.Y.(ANOTHER),1073,A68.03%(A + 45),EASY,2260
☆12,B4U(BEMANI FOR YOU MIX)(LEGGENDARIA),1014,A69.89%(A + 128),EASY,2776
☆12,BabeL ～Grand Story～(ANOTHER),521,AA82.99%(AA + 158),HARD,2518
☆12,Bad Encryption(ANOTHER),,,,0
☆12,Bad Maniacs(ANOTHER),1134,B62.52%(A - 134),FAILED,2008
☆12,Battle Train -IIDX Edition-(ANOTHER),879,A75.04%(AA - 107),HARD,2925
☆12,Be OK(ANOTHER),1046,AA78.74%(AA + 33),HARD,2704
☆12,Be quiet(LEGGENDARIA),,,,0
☆12,BEAT PRISONER(ANOTHER),930,A75.57%(AA - 78),EASY,2648
☆12,Beat Radiance(LEGGENDARIA),1003,AA84.95%(AAA - 149),EASY,3206
☆12,Beyond Evolution(ANOTHER),,,,0
☆12,BIGWAVERS(ANOTHER),466,A76.73%(AA - 38),EASY,2727
☆12,BIGソムタム(ANOTHER),616,AAA89.67%(AAA + 26),HARD,3074
☆12,Binary Black Hole(ANOTHER),,,,0
☆12,BLACK or WHITE?(ANOTHER),768,A71.99%(A + 208),EASY,2822
☆12,BLACK.by X-Cross Fade(ANOTHER),1156,A77.48%(AA - 11),EASY,2729
☆12,BLOCKS(ANOTHER),872,AA79.52%(AA + 34),HARD,1592
☆12,BLUE DRAGON(雷龍RemixIIDX)(LEGGENDARIA),504,AA80.55%(AA + 98),EASY,2858
☆12,Blue Rain(LEGGENDARIA),,,,0
☆12,Blue Spring Express(ANOTHER),1465,A68.95%(A + 73),EASY,2209
☆12,Boomy and The Boost(ANOTHER),995,AA79.23%(AA + 52),FAILED,2849
☆12,BRAINSTORM(ANOTHER),951,AA79.46%(AA + 50),HARD,2376
☆12,BroGamer(LEGGENDARIA),846,B63.68%(A - 140),FAILED,2983
☆12,Broken(ANOTHER),1115,AA80.95%(AA + 90),HARD,2299
☆12,Broken Sword(ANOTHER),919,A74.67%(AA - 119),EASY,2854
☆12,Burning Flame(LEGGENDARIA),650,A68.75%(A + 81),EASY,2673
☆12,CADENZA(ANOTHER),,,,0
☆12,Candy Galy(ANOTHER),591,AA84.42%(AAA - 121),HARD,2276
☆12,Candy Galy(LEGGENDARIA),589,A75.11%(AA - 100),FAILED,2812
☆12,Carmina(ANOTHER),942,B63.3%(A - 135),FAILED,2532
☆12,Carry Me Away(ANOTHER),787,AA81.57%(AA + 118),HARD,2558
☆12,Catch Our Fire!(ANOTHER),884,A73.54%(AA - 160),EASY,2777
☆12,Caterpillar(ANOTHER),1369,A72.61%(AA - 174),EASY,2441
☆12,chaos eater -IIDX edition-(ANOTHER),463,AA88.56%(AAA - 10),HARD,2554
☆12,Chaotoxin(ANOTHER),481,A74.11%(AA - 128),EASY,2588
☆12,Cheer Train(ANOTHER),612,A76.93%(AA - 23),ASSIST,2011
☆12,CHRONO DIVER -NORNIR-(LEGGENDARIA),,,,0
☆12,Chrono Diver -PENDULUMs-(ANOTHER),1117,B57.16%(B + 71),FAILED,2540
☆12,cinder(ANOTHER),686,AA80.19%(AA + 85),HARD,2829
☆12,Close the World feat.a☆ru(ANOTHER),691,AA82.24%(AA + 143),HARD,2648
☆12,Close the World feat.a☆ru(LEGGENDARIA),793,A72.34%(AA - 202),EASY,2678
☆12,CODE:0(LEGGENDARIA),212,A71.54%(A + 185),EASY,2727
☆12,CODE:1 [revision1.0.1](ANOTHER),1430,C53.56%(B - 68),FAILED,1805
☆12,Colorful Cookie(ANOTHER),733,AA87.91%(AAA - 36),HARD,3184
☆12,Colors (radio edit)(ANOTHER),972,A72.95%(AA - 122),HARD,1831
☆12,Concertino in Blue(ANOTHER),673,A75.93%(AA - 53),EASY,2164
☆12,Confiserie(ANOTHER),918,A68.73%(A + 80),FAILED,2664
☆12,CONTRACT(ANOTHER),834,A70.57%(A + 82),EASY,1482
☆12,CONTRACT(LEGGENDARIA),,,,0
